Designator,Footprint,Quantity,Value,LCSC Part #
BRD1,128x64OLED,1,SSD1306,
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_Cell,C16965
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,C76871
"C1, C10, C2, C25, C7, C8, C9",0603,7,4.7uF,C19666
"C11, C12",0603,2,12pF,C38523
"C13, C14, C15, C16, C17, C19, C20, C26, C27, C4, C5, C6",0603,12,0.1uF,C14663
"C18, C21",0603,2,1uF,C15849
"C22, C23, C24, C3",0603,4,100nF,C14663
"D1, D2, D3, D4, D6, D7, D8",D_SOD-323,7,1N5819WS,C191023
"D10, D11, D14, D9",0201,4,ESD441,C46472760
"D12, D13",D_SMF,2,SMF18A,C52148407
D5,D_SOD-323,1,1N4148WS,C2128
F1,0805,1,1A,C269104
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J3, J7",Jack_3.5mm_CUI_SJ1-3525N_Horizontal,2,AudioJack2_Ground_Switch,C16684
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_Pin,C160403
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J6,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
Q1,SOT-23,1,BSS138,C8490
"R1, R19, R23, R3, R7",0603,5,10K,C25804
"R10, R9",0603,2,5.1K,
R11,0603,1,2.7K,C13167
"R12, R14, R15, R16, R17, R24",0603,6,100K 1%,C25803
"R13, R18",0603,2,470K 1%,C23178
"R2, R25",0603,2,680,C23228
"R20, R21",0603,2,22,C23345
"R22, R27",0603,2,1K,C21190
"R26, R28, R47, R48, R6",0603,5,100,C22775
"R4, R5",0603,2,100K,C14675
R8,0603,1,470,C23179
SW3,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,C131374
SW4,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,C2991196
SW5,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,1,RESET,C83916
SW6,SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,1,BOOTSEL,C83916
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-23-5,1,TP4054,C668215
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358B,C1850238
U4,SOT-23-3,1,XC6206PxxxMR,C5446
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,GD25Q64xS,C3202808
U6,TSSOP-10_3x3mm_P0.5mm,1,ADS1015IDGS,C193969
U7,SOT-23-6,1,MCP4725xxx-xCH,C144198
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,XYDBPCNANF-12MHZ,C7275076
