Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_Cell,C16965
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,C76871
"C1, C5",0603,2,1uF,C15849
"C10, C13, C14, C17, C2, C3, C9",0805,7,4.7uF,C1779
"C11, C12, C15, C16, C18, C19, C4, C6, C7, C8",0603,10,100nF,C14663
D1,0805,1,LED,C84256
"D10, D11, D14, D9",0402,4,ESD441,C316049
"D12, D13, D3, D4, D6, D7, D8",D_SOD-323,7,1N5819WS,C191023
"D15, D5",D_SMF,2,SMF18A,C169433
D2,D_SOD-323,1,1N4148WS,C2128
F1,0805,1,1A,C269104
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"J3, J6",Jack_3.5mm_CUI_SJ1-3525N_Horizontal,2,AudioJack2_Ground_Switch,C16684
J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C2718488
J7,Jack_2.5mm_PJ242_6P_12x6.2x4mm_Horizontal,1,AudioJack2_Ground_Switch,C431536
Q1,SOT-23,1,BSS138,C8490
R1,0603,1,2.7K,C13167
"R10, R11, R18",0603,3,100R,C22775
"R12, R16",0603,2,470K 1%,C23178
"R13, R17, R20, R21, R22, R23",0603,6,100K 1%,C25803
"R14, R15",0603,2,5.1K,C23186
R19,0603,1,470R,C23179
R2,0603,1,1K,C21190
"R3, R4",0603,2,100K1%,C25803
"R5, R6, R7",0603,3,10K,C25804
"R8, R9",0603,2,680R,C23228
SW1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,C131374
"SW2, SW3, SW5",SW_SPST_TS-1088-xR025,3,BTN,C720477
SW4,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,C2991196
U1,SOT-23-5,1,TP4054,C668215
U2,SOT-23-3,1,XC6206PxxxMR,C5446
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358B,C1850238
U4,LQFP-64_10x10mm_P0.5mm,1,STM32G0B1RBTx,C5143679
