Designator,Mid X,Mid Y,Rotation,Layer
BT1,124.91,-112.8,270.0,top
BZ1,169.09,-109.86,90.0,top
C1,129.78,-91.34,180.0,top
C10,158.04375,-89.6,180.0,top
C11,174.43,-85.69,270.0,top
C12,144.8,-89.1,90.0,top
C13,158.04375,-87.48,180.0,top
C14,158.04375,-85.39,180.0,top
C15,139.6,-91.5,180.0,top
C16,163.88,-118.26,90.0,top
C17,170.9675,-85.79,0.0,top
C18,137.205,-105.91,270.0,top
C19,138.26,-108.99,90.0,top
C2,138.73,-85.32,90.0,top
C3,131.63,-89.51,180.0,top
C4,161.5,-101.725,90.0,top
C5,155.14,-101.22,0.0,top
C6,155.14,-99.68,0.0,top
C7,155.14,-102.79,0.0,top
C8,155.15,-98.11,0.0,top
C9,158.04375,-91.71,180.0,top
D1,125.29,-91.9725,270.0,top
D10,132.12,-101.94,0.0,top
D11,132.25,-103.85,0.0,top
D12,164.45375,-86.4425,180.0,top
D13,170.88,-87.94,180.0,top
D14,163.93,-115.69,270.0,top
D15,172.365,-82.3325,270.0,top
D2,129.09,-80.0875,90.0,top
D3,136.68,-85.27,90.0,top
D4,134.65,-85.27,90.0,top
D5,158.8,-100.0,270.0,top
D6,164.45875,-92.7725,0.0,top
D7,164.45625,-90.6225,180.0,top
D8,164.45625,-88.5525,0.0,top
D9,129.9325,-96.14,180.0,top
F1,135.1,-108.64,180.0,top
H1,127.01,-75.0,0.0,top
H2,172.0,-75.0,0.0,top
H3,127.0,-120.0,0.0,top
H4,172.0,-120.0,0.0,top
J2,125.65,-102.48,270.0,top
J3,137.45,-77.075,180.0,top
J4,149.56,-84.96,270.0,top
J6,161.55,-77.075,180.0,top
J7,149.49,-76.03,270.0,top
Q1,158.1,-94.8625,90.0,top
R1,132.15,-93.59,90.0,top
R10,151.73,-88.26,0.0,top
R11,151.725,-89.83,0.0,top
R12,147.3,-89.9,180.0,top
R13,147.3,-88.3,0.0,top
R14,125.32,-96.05,180.0,top
R15,132.09,-118.87,270.0,top
R16,140.5,-89.1,270.0,top
R17,138.8,-89.075,90.0,top
R18,170.115,-83.17,90.0,top
R19,161.44,-84.42,180.0,top
R2,127.09,-92.085,270.0,top
R20,134.795,-105.1,0.0,top
R21,134.795,-106.78,180.0,top
R22,145.61,-108.51,180.0,top
R23,140.59,-108.03,0.0,top
R3,160.2675,-111.0,0.0,top
R4,165.5,-101.77,0.0,top
R5,153.2,-106.2,90.0,top
R6,151.375,-106.1775,270.0,top
R7,152.1375,-93.95,0.0,top
R8,161.5,-97.9875,270.0,top
R9,155.08,-94.81,90.0,top
SW1,125.33,-84.18,270.0,top
SW2,168.74,-92.7,90.0,top
SW3,172.79,-92.7,90.0,top
SW4,149.25,-116.78,0.0,top
SW5,161.26,-116.76,90.0,top
U1,131.73,-86.2875,90.0,top
U2,135.74,-89.17,180.0,top
U3,157.75,-106.405,270.0,top
U4,144.73,-99.305,90.0,top
